elapsed_s,FRET_mA,FRET_V,DAMPER_mA,DAMPER_V,PICK_mA,PICK_V
8.676,0.00,10.10,872.50,0.00,-2.50,1.34
8.702,0.00,9.44,476.25,0.00,0.00,1.31
8.729,0.00,10.12,870.00,0.00,0.00,1.31
8.748,2.50,9.39,628.75,0.00,1.25,1.31
8.768,0.00,10.12,888.75,0.00,-1.25,1.31
8.788,1.25,9.69,882.50,0.00,0.00,1.31
8.807,56.25,10.04,122.50,0.00,0.00,1.32
8.827,0.00,9.77,870.00,0.00,-1.25,1.32
8.846,0.00,10.24,692.50,0.00,0.00,1.32
8.866,6.25,9.96,745.00,0.00,-1.25,1.32
8.885,1.25,9.50,845.00,0.00,-1.25,1.32
8.905,0.00,11.17,567.50,0.00,-1.25,1.32
8.924,1.25,9.62,753.75,0.00,0.00,1.33
8.944,-1.25,11.61,527.50,0.00,0.00,1.33
8.963,1.25,10.03,786.25,0.00,-1.25,1.31
8.988,0.00,10.38,13.75,0.00,-1.25,1.37
9.015,2.50,9.66,755.00,0.00,-2.50,1.37
9.037,0.00,10.06,100.00,0.00,0.00,1.34
9.063,1.25,9.78,865.00,0.00,1.25,1.33
9.082,50.00,10.18,527.50,0.00,-1.25,1.33
9.103,0.00,9.82,875.00,0.00,-1.25,1.33
9.123,1.25,10.09,227.50,0.00,-1.25,1.34
9.142,-2.50,10.00,698.75,0.00,1.25,1.34
9.162,1.25,9.57,862.50,0.00,-1.25,1.34
9.181,-2.50,10.03,490.00,0.00,0.00,1.35
9.201,1.25,9.66,526.25,0.00,0.00,1.35
9.220,0.00,10.59,677.50,0.00,1.25,1.35
9.240,1.25,9.83,742.50,0.00,1.25,1.36
9.259,0.00,9.85,211.25,0.00,-1.25,1.35
9.279,1.25,11.34,877.50,0.00,-1.25,1.34
9.300,2.50,9.51,688.75,0.00,0.00,1.35
9.320,1.25,10.18,686.25,0.00,0.00,1.35
9.339,1.25,9.66,830.00,0.00,-1.25,1.35
9.359,0.00,10.13,662.50,0.00,0.00,1.35
9.380,1.25,10.06,871.25,0.00,0.00,1.35
9.399,1.25,10.07,561.25,0.00,-1.25,1.36
9.419,1.25,10.02,888.75,0.00,0.00,1.36
9.438,1.25,9.60,882.50,0.00,0.00,1.35
9.458,6.25,10.03,76.25,0.00,-1.25,1.37
9.478,1.25,9.72,865.00,0.00,1.25,1.36
9.497,0.00,10.52,517.50,2.08,1.25,1.36
9.517,1.25,9.86,753.75,0.00,0.00,1.36
9.538,-1.25,10.06,682.50,1.02,-1.25,1.35
9.559,0.00,9.99,757.50,0.00,0.00,1.35
9.580,1.25,9.63,656.25,0.00,0.00,1.35
9.600,50.00,10.03,511.25,0.00,1.25,1.36
9.619,-1.25,9.63,732.50,0.00,0.00,1.36
9.639,0.00,10.08,590.00,2.33,1.25,1.35
9.658,1.25,9.79,757.50,0.00,-1.25,1.36
9.678,0.00,10.04,528.75,0.00,0.00,1.35
9.698,1.25,9.94,813.75,0.00,-1.25,1.36
9.718,1.25,9.47,586.25,0.00,-1.25,1.36
9.738,1.25,10.33,707.50,0.00,0.00,1.36
9.759,0.00,9.61,725.00,0.00,0.00,1.36
9.778,1.25,11.73,686.25,0.00,0.00,1.36
9.798,1.25,9.71,696.25,0.00,-1.25,1.34
9.820,1.25,10.13,313.75,0.00,0.00,1.35
9.840,-1.25,9.98,847.50,0.00,0.00,1.35
9.859,-1.25,9.43,433.75,0.00,0.00,1.35
9.878,0.00,11.71,827.50,0.00,0.00,1.36
9.898,1.25,9.54,378.75,0.00,0.00,1.35
9.920,2.50,11.45,648.75,0.00,0.00,1.35
9.940,1.25,9.86,721.25,0.00,0.00,1.34
9.959,0.00,10.04,-112.50,0.00,0.00,1.32
9.992,0.00,9.72,856.25,0.00,0.00,1.34
10.020,1.25,10.72,892.50,0.00,0.00,1.34
10.042,2.50,9.47,765.00,0.00,1.25,1.32
10.066,0.00,10.03,661.25,0.00,0.00,1.32
10.087,2.50,9.55,877.50,0.00,0.00,1.32
10.107,12.50,10.03,621.25,1.87,1.25,1.32
10.127,1.25,9.66,562.50,0.00,0.00,1.32
10.146,1.25,10.72,673.75,0.00,-1.25,1.32
10.166,1.25,9.84,746.25,0.00,-1.25,1.32
10.186,0.00,9.67,675.00,0.00,0.00,1.32
10.205,0.00,11.09,887.50,0.00,0.00,1.32
10.225,1.25,9.50,777.50,0.00,0.00,1.33
10.244,2.50,11.28,680.00,0.00,-1.25,1.33
